kth;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,580,290,290,580,580,290,290,580,580,290,580,290,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,580,290,580,290,580,290,580,290,290,580,290,580,290,580,290,580,290,580,580,290,580,0
ktr;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,580,290,290,580,580,290,290,580,580,290,580,290,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,290,580,580,290,580,0
kts;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,580,290,290,580,580,290,290,580,580,290,580,290,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,580,290,580,290,580,290,580,290,290,580,580,290,580,290,290,580,290,580,580,290,580,0
kfh;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,290,580,290,580,290,580,580,290,580,290,580,290,580,290,580,290,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,290,580,290,580,290,580,290,580,580,290,580,0
kfs;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,290,580,290,580,290,580,580,290,580,290,580,290,580,290,580,290,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,290,580,580,290,580,0
kfr;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,290,580,290,580,290,580,580,290,580,290,580,290,580,290,580,290,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,580,290,580,290,290,580,290,580,290,580,580,290,580,290,290,580,290,580,580,290,580,0
Sandroh;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,580,290,580,290,580,290,290,580,580,290,580,290,580,290,580,290,290,580,580,290,580,290,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,580,290,580,290,290,580,580,290,290,580,580,290,290,580,290,580,290,580,290,580,580,0
Sandros;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,580,290,580,290,580,290,290,580,580,290,580,290,580,290,580,290,290,580,580,290,580,290,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,580,290,290,580,580,290,290,580,290,580,290,580,580,0
Sandror;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,580,290,580,290,580,290,290,580,580,290,580,290,580,290,580,290,290,580,580,290,580,290,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,580,290,580,290,580,290,290,580,290,580,290,580,580,290,290,580,290,580,290,580,580,0
Marieh;5220,5220,580,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,290,580,580,290,290,580,580,290,580,290,580,290,580,290,580,290,580,290,580,290,290,580,290,580,580,290,290,580,580,290,580,290,290,580,580,290,580,290,290,580,580,290,580,290,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,290,580,580,290,290,580,580,290,580,290,580,290,290,580,580,290,290,580,290,580,290,580,580,290,580,290,580,0
